"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
1,"Bitcoin","$812,840,065,750","$42,822.00","18,951,006","$16,766,121,925","2.85 %",2022-02-07 06:31:35
2,"Ethereum","$370,572,546,842","$3,097.53","119,478,334","$12,065,612,984","2.66 %",2022-02-07 06:31:35
3,"Tether","$78,116,679,651","$1.00","77,908,751,039","$39,179,800,906","-0.02 %",2022-02-07 06:31:35
4,"Binance Coin","$71,884,839,181","$428.29","168,137,036","$1,203,222,951","3.16 %",2022-02-07 06:31:35
5,"USD Coin","$51,137,391,745","$1.00","51,074,067,080","$3,203,735,666","-0.16 %",2022-02-07 06:31:35
6,"Solana","$37,680,520,361","$118.15","317,334,040","$1,593,672,147","4.48 %",2022-02-07 06:31:35
7,"Cardano","$37,348,907,552","$1.17","32,066,390,668","$952,184,094","3.65 %",2022-02-07 06:31:35
8,"XRP","$35,707,048,697","$0.75","47,832,461,678","$2,519,428,579","11.65 %",2022-02-07 06:31:35
9,"Polkadot","$24,114,835,074","$22.35","1,080,913,022","$764,300,051","4.68 %",2022-02-07 06:31:35
10,"Terra","$23,096,697,941","$57.60","400,975,712","$1,441,981,601","2.95 %",2022-02-07 06:31:35
11,"Dogecoin","$20,997,028,678","$0.16","132,670,764,300","$958,326,682","6.84 %",2022-02-07 06:31:35
12,"Avalanche","$20,303,276,012","$82.94","245,135,081","$627,810,592","6.71 %",2022-02-07 06:31:35
13,"Binance USD","$16,570,982,777","$1.00","16,522,327,509","$3,080,856,948","-0.11 %",2022-02-07 06:31:35
14,"Shiba Inu","$15,319,357,633","$0.00","549,148,127,028,480","$2,502,286,336","22.82 %",2022-02-07 06:31:35
15,"Polygon","$12,340,996,114","$1.79","6,872,890,164","$772,444,749","4.07 %",2022-02-07 06:31:35
16,"Crypto.com Coin","$12,114,258,034","$0.48","25,263,013,692","$144,897,756","5.53 %",2022-02-07 06:31:35
17,"TerraUSD","$11,289,971,419","$1.00","11,271,856,658","$218,715,341","-0.06 %",2022-02-07 06:31:35
18,"Wrapped Bitcoin","$11,220,862,493","$42,850.00","261,865","$286,885,745","3.01 %",2022-02-07 06:31:35
19,"Cosmos","$9,409,992,395","$32.82","287,706,847","$711,009,248","3.88 %",2022-02-07 06:31:35
20,"Dai","$9,347,348,687","$1.00","9,341,794,829","$273,631,077","-0.21 %",2022-02-07 06:31:35
